notebook,package
extract-im-features.ipynb,pandas
extract-im-features.ipynb,plotly
extract-im-features.ipynb,polars
extract-im-features.ipynb,matplotlib
extract-im-features.ipynb,numpy
meghana-ass-4.ipynb,pandas
meghana-ass-4.ipynb,numpy
makine-ogrenmesi-odev-4.ipynb,pandas
makine-ogrenmesi-odev-4.ipynb,statsmodels
makine-ogrenmesi-odev-4.ipynb,numpy
exercise-line-charts.ipynb,seaborn
exercise-line-charts.ipynb,pandas
exercise-line-charts.ipynb,matplotlib
fork-of-3d-cnn.ipynb,tqdm
fork-of-3d-cnn.ipynb,pytorch
fork-of-3d-cnn.ipynb,pillow
fork-of-3d-cnn.ipynb,scikit-learn
fork-of-3d-cnn.ipynb,numpy
xgboost-logistic-random-forest.ipynb,pandas
xgboost-logistic-random-forest.ipynb,numpy
fork-of-viewfx-kdef-l-n-n.ipynb,tqdm
fork-of-viewfx-kdef-l-n-n.ipynb,pytorch
fork-of-viewfx-kdef-l-n-n.ipynb,pandas
fork-of-viewfx-kdef-l-n-n.ipynb,seaborn
fork-of-viewfx-kdef-l-n-n.ipynb,pillow
fork-of-viewfx-kdef-l-n-n.ipynb,scikit-learn
fork-of-viewfx-kdef-l-n-n.ipynb,matplotlib
fork-of-viewfx-kdef-l-n-n.ipynb,numpy
day-4-fine-tuning-a-custom-model.ipynb,tqdm
day-4-fine-tuning-a-custom-model.ipynb,email
day-4-fine-tuning-a-custom-model.ipynb,pandas
day-4-fine-tuning-a-custom-model.ipynb,scikit-learn
nlp-foundations-g3.ipynb,gensim
nlp-foundations-g3.ipynb,huggingface
nlp-foundations-g3.ipynb,spacy
nlp-foundations-g3.ipynb,nltk
nlp-foundations-g3.ipynb,numpy
nlp-noattention-attention.ipynb,seaborn
nlp-noattention-attention.ipynb,pandas
nlp-noattention-attention.ipynb,evaluate
nlp-noattention-attention.ipynb,tensorflow
nlp-noattention-attention.ipynb,matplotlib
nlp-noattention-attention.ipynb,numpy
smart-autonomous-trip-planner.ipynb,logging
smart-autonomous-trip-planner.ipynb,openai
smart-autonomous-trip-planner.ipynb,rich
alexandria-detecting-insults-in-social-co-078707.ipynb,pytorch
alexandria-detecting-insults-in-social-co-078707.ipynb,seaborn
alexandria-detecting-insults-in-social-co-078707.ipynb,pandas
alexandria-detecting-insults-in-social-co-078707.ipynb,scikit-learn
alexandria-detecting-insults-in-social-co-078707.ipynb,matplotlib
alexandria-detecting-insults-in-social-co-078707.ipynb,numpy
grover-challenge.ipynb,qiskit
grover-challenge.ipynb,matplotlib
grover-challenge.ipynb,qiskit_aer
grover-challenge.ipynb,numpy
w-ow2v.ipynb,pytorch
w-ow2v.ipynb,gensim
w-ow2v.ipynb,pandas
w-ow2v.ipynb,scikit-learn
w-ow2v.ipynb,matplotlib
w-ow2v.ipynb,numpy
spotify-from-1988-2020-analysis.ipynb,seaborn
spotify-from-1988-2020-analysis.ipynb,pandas
spotify-from-1988-2020-analysis.ipynb,plotly
spotify-from-1988-2020-analysis.ipynb,matplotlib
spotify-from-1988-2020-analysis.ipynb,numpy
hybrid-ml-strategy-for-hull-tactical-prediction.ipynb,pandas
hybrid-ml-strategy-for-hull-tactical-prediction.ipynb,polars
hybrid-ml-strategy-for-hull-tactical-prediction.ipynb,scikit-learn
hybrid-ml-strategy-for-hull-tactical-prediction.ipynb,numpy
hybrid-ml-strategy-for-hull-tactical-prediction.ipynb,logging
hybrid-ml-strategy-for-hull-tactical-prediction.ipynb,xgboost
random-forest.ipynb,seaborn
random-forest.ipynb,pandas
random-forest.ipynb,scikit-learn
random-forest.ipynb,joblib
random-forest.ipynb,matplotlib
random-forest.ipynb,numpy
house-price-predication.ipynb,seaborn
house-price-predication.ipynb,pandas
house-price-predication.ipynb,xgboost
house-price-predication.ipynb,scikit-learn
house-price-predication.ipynb,joblib
house-price-predication.ipynb,matplotlib
house-price-predication.ipynb,numpy
multi-target-sales-forecasting-dt.ipynb,pandas
multi-target-sales-forecasting-dt.ipynb,scikit-learn
multi-target-sales-forecasting-dt.ipynb,matplotlib
multi-target-sales-forecasting-dt.ipynb,numpy
linear-regression-student-scores-ipynb.ipynb,scikit-learn
linear-regression-student-scores-ipynb.ipynb,pandas
linear-regression-student-scores-ipynb.ipynb,matplotlib
linear-regression-student-scores-ipynb.ipynb,numpy
multi-head-latent-attention.ipynb,pytorch
exoplanetas.ipynb,seaborn
exoplanetas.ipynb,pandas
exoplanetas.ipynb,xgboost
exoplanetas.ipynb,optuna
exoplanetas.ipynb,scikit-learn
exoplanetas.ipynb,matplotlib
exoplanetas.ipynb,scipy
exoplanetas.ipynb,numpy
2nd-place-advanced-3d-patch-segmentation.ipynb,tqdm
2nd-place-advanced-3d-patch-segmentation.ipynb,pytorch
2nd-place-advanced-3d-patch-segmentation.ipynb,pandas
2nd-place-advanced-3d-patch-segmentation.ipynb,pillow
2nd-place-advanced-3d-patch-segmentation.ipynb,opencv
2nd-place-advanced-3d-patch-segmentation.ipynb,numpy
exploring-spotify-dataset.ipynb,seaborn
exploring-spotify-dataset.ipynb,pandas
exploring-spotify-dataset.ipynb,matplotlib
exploring-spotify-dataset.ipynb,numpy
mabe-fps-aware-mode-aware-thresholds-v4.ipynb,pandas
mabe-fps-aware-mode-aware-thresholds-v4.ipynb,xgboost
mabe-fps-aware-mode-aware-thresholds-v4.ipynb,polars
mabe-fps-aware-mode-aware-thresholds-v4.ipynb,traceback
mabe-fps-aware-mode-aware-thresholds-v4.ipynb,scikit-learn
mabe-fps-aware-mode-aware-thresholds-v4.ipynb,numpy
mabe-fps-aware-mode-aware-thresholds-v4.ipynb,catboost
mabe-fps-aware-mode-aware-thresholds-v4.ipynb,itertools
mabe-fps-aware-mode-aware-thresholds-v4.ipynb,lightgbm
insights-from-exploratory-data-analysis.ipynb,seaborn
insights-from-exploratory-data-analysis.ipynb,pandas
insights-from-exploratory-data-analysis.ipynb,matplotlib
insights-from-exploratory-data-analysis.ipynb,numpy
exercise-arithmetic-and-variables copy.ipynb,pandas
loan-payback-prediction-kaggle-playground-2025.ipynb,seaborn
loan-payback-prediction-kaggle-playground-2025.ipynb,pandas
loan-payback-prediction-kaggle-playground-2025.ipynb,xgboost
loan-payback-prediction-kaggle-playground-2025.ipynb,scikit-learn
loan-payback-prediction-kaggle-playground-2025.ipynb,catboost
loan-payback-prediction-kaggle-playground-2025.ipynb,lightgbm
loan-payback-prediction-kaggle-playground-2025.ipynb,matplotlib
loan-payback-prediction-kaggle-playground-2025.ipynb,numpy
dt-classifier.ipynb,seaborn
dt-classifier.ipynb,pandas
dt-classifier.ipynb,scikit-learn
dt-classifier.ipynb,numpy
mon-cnn.ipynb,pytorch
mon-cnn.ipynb,pandas
mon-cnn.ipynb,pillow
mon-cnn.ipynb,numpy
doctor-finder-agent.ipynb,jupyter_server
doctor-finder-agent.ipynb,ipython
glass-classification-autogluon.ipynb,pandas
glass-classification-autogluon.ipynb,category_encoders
glass-classification-autogluon.ipynb,scikit-learn
glass-classification-autogluon.ipynb,numpy
glass-classification-autogluon.ipynb,autogluon
glass-classification-autogluon.ipynb,lightgbm
glass-classification-autogluon.ipynb,xgboost
building-llm-apps-vs-building-llms-models.ipynb,huggingface
building-llm-apps-vs-building-llms-models.ipynb,scikit-learn
building-llm-apps-vs-building-llms-models.ipynb,wandb
building-llm-apps-vs-building-llms-models.ipynb,langchain
decision-tree.ipynb,seaborn
decision-tree.ipynb,pandas
decision-tree.ipynb,scikit-learn
decision-tree.ipynb,matplotlib
decision-tree.ipynb,numpy
ml-with-iris.ipynb,seaborn
ml-with-iris.ipynb,pandas
ml-with-iris.ipynb,ipython
ml-with-iris.ipynb,scikit-learn
ml-with-iris.ipynb,matplotlib
ml-with-iris.ipynb,numpy
kaggle-ai.ipynb,pandas
kaggle-ai.ipynb,numpy
straightforward-catboost.ipynb,seaborn
straightforward-catboost.ipynb,pandas
straightforward-catboost.ipynb,xgboost
straightforward-catboost.ipynb,scikit-learn
straightforward-catboost.ipynb,catboost
straightforward-catboost.ipynb,matplotlib
straightforward-catboost.ipynb,numpy
k-means.ipynb,pandas
k-means.ipynb,scikit-learn
k-means.ipynb,numpy
multi-disease-detection-using-chest-x-rays.ipynb,pytorch
multi-disease-detection-using-chest-x-rays.ipynb,pandas
multi-disease-detection-using-chest-x-rays.ipynb,pillow
multi-disease-detection-using-chest-x-rays.ipynb,scikit-learn
multi-disease-detection-using-chest-x-rays.ipynb,opencv
multi-disease-detection-using-chest-x-rays.ipynb,matplotlib
multi-disease-detection-using-chest-x-rays.ipynb,numpy
text-emotions-predict.ipynb,seaborn
text-emotions-predict.ipynb,pandas
text-emotions-predict.ipynb,ipython
text-emotions-predict.ipynb,scikit-learn
text-emotions-predict.ipynb,joblib
text-emotions-predict.ipynb,gradio
healthcare.ipynb,seaborn
healthcare.ipynb,pandas
healthcare.ipynb,scikit-learn
healthcare.ipynb,numpy
healthcare.ipynb,matplotlib
healthcare.ipynb,xgboost
eda-uit-vsfc.ipynb,seaborn
eda-uit-vsfc.ipynb,pandas
eda-uit-vsfc.ipynb,wordcloud
eda-uit-vsfc.ipynb,scikit-learn
eda-uit-vsfc.ipynb,matplotlib
eda-uit-vsfc.ipynb,gdown
eda-uit-vsfc.ipynb,numpy
exercise-underfitting-and-overfitting copy.ipynb,pandas
exercise-underfitting-and-overfitting copy.ipynb,scikit-learn
loan-eligibility-emi-advisor-ai-powered-financ.ipynb,pandas
loan-eligibility-emi-advisor-ai-powered-financ.ipynb,scikit-learn
loan-eligibility-emi-advisor-ai-powered-financ.ipynb,numpy
exploratory-data-analysis-of-titanic-dataset.ipynb,seaborn
exploratory-data-analysis-of-titanic-dataset.ipynb,pandas
exploratory-data-analysis-of-titanic-dataset.ipynb,matplotlib
exploratory-data-analysis-of-titanic-dataset.ipynb,numpy
cheminformatics-melting-point-gnn.ipynb,tqdm
cheminformatics-melting-point-gnn.ipynb,pytorch
cheminformatics-melting-point-gnn.ipynb,pandas
cheminformatics-melting-point-gnn.ipynb,scikit-learn
cheminformatics-melting-point-gnn.ipynb,rdkit
simple-lightgbm-only-competition-data-s5e11.ipynb,pandas
simple-lightgbm-only-competition-data-s5e11.ipynb,scikit-learn
simple-lightgbm-only-competition-data-s5e11.ipynb,lightgbm
simple-lightgbm-only-competition-data-s5e11.ipynb,numpy
iris-dataset.ipynb,seaborn
iris-dataset.ipynb,pandas
iris-dataset.ipynb,matplotlib
iris-dataset.ipynb,numpy
satcaption-train.ipynb,tqdm
satcaption-train.ipynb,pytorch
satcaption-train.ipynb,pandas
satcaption-train.ipynb,pillow
satcaption-train.ipynb,ast
satcaption-train.ipynb,huggingface
satcaption-train.ipynb,sacrebleu
satcaption-train.ipynb,peft
lab3-koval-serhiy-kh31.ipynb,seaborn
lab3-koval-serhiy-kh31.ipynb,pandas
lab3-koval-serhiy-kh31.ipynb,scikit-learn
lab3-koval-serhiy-kh31.ipynb,matplotlib
lab3-koval-serhiy-kh31.ipynb,numpy
example-codes.ipynb,pandas
example-codes.ipynb,matplotlib
example-codes.ipynb,numpy
mosque-count-analysis-2025.ipynb,pandas
mosque-count-analysis-2025.ipynb,matplotlib
exercise-arithmetic-and-variables.ipynb,pandas
cafa-6-protein-function-prediction.ipynb,pandas
cafa-6-protein-function-prediction.ipynb,numpy
covid-19-analysis-visualization.ipynb,pandas
covid-19-analysis-visualization.ipynb,plotly
covid-19-analysis-visualization.ipynb,wordcloud
covid-19-analysis-visualization.ipynb,matplotlib
covid-19-analysis-visualization.ipynb,numpy
iot-performance-analytics-injury-prediction-in.ipynb,pandas
iot-performance-analytics-injury-prediction-in.ipynb,scikit-learn
iot-performance-analytics-injury-prediction-in.ipynb,numpy
airr-ml-25-eda-convert-dataset-to-parquet.ipynb,tqdm
airr-ml-25-eda-convert-dataset-to-parquet.ipynb,seaborn
airr-ml-25-eda-convert-dataset-to-parquet.ipynb,pandas
airr-ml-25-eda-convert-dataset-to-parquet.ipynb,matplotlib
openthough-qwen-2-5-tokenized.ipynb,huggingface
openthough-qwen-2-5-tokenized.ipynb,matplotlib
openthough-qwen-2-5-tokenized.ipynb,numpy
law-ai-agent.ipynb,pandas
adaptive-retrieval-augmented-generation-rag.ipynb,pydantic
adaptive-retrieval-augmented-generation-rag.ipynb,langchain
adaptive-retrieval-augmented-generation-rag.ipynb,dotenv
adaptive-retrieval-augmented-generation-rag.ipynb,langchain_community
mini-project9.ipynb,tqdm
mini-project9.ipynb,pytorch
mini-project9.ipynb,pandas
mini-project9.ipynb,seaborn
mini-project9.ipynb,pillow
mini-project9.ipynb,scikit-learn
mini-project9.ipynb,scikit-image
mini-project9.ipynb,opencv
mini-project9.ipynb,matplotlib
mini-project9.ipynb,numpy
aquaponics-fish-pond-datasets-forecasting-model.ipynb,pandas
aquaponics-fish-pond-datasets-forecasting-model.ipynb,ipython
aquaponics-fish-pond-datasets-forecasting-model.ipynb,tensorflow
aquaponics-fish-pond-datasets-forecasting-model.ipynb,scikit-learn
aquaponics-fish-pond-datasets-forecasting-model.ipynb,matplotlib
aquaponics-fish-pond-datasets-forecasting-model.ipynb,numpy
nov-rdp-tjc-biogenic-silver-nanoparticles.ipynb,pandas
nov-rdp-tjc-biogenic-silver-nanoparticles.ipynb,matplotlib
nov-rdp-tjc-biogenic-silver-nanoparticles.ipynb,numpy
shopping-behaviour-and-product-ranking-analysis.ipynb,seaborn
shopping-behaviour-and-product-ranking-analysis.ipynb,pandas
shopping-behaviour-and-product-ranking-analysis.ipynb,scikit-learn
shopping-behaviour-and-product-ranking-analysis.ipynb,matplotlib
shopping-behaviour-and-product-ranking-analysis.ipynb,scipy
haus-preis.ipynb,pandas
haus-preis.ipynb,plotly
haus-preis.ipynb,numpy
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,tqdm
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,pytorch
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,pandas
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,pillow
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,polars
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,scikit-learn
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,copy
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,huggingface
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,opencv
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,catboost
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,logging
csiro-two-stream-eva-02-inference-lb-0-64.ipynb,numpy
analysis-and-prediction-of-heart-disease.ipynb,seaborn
analysis-and-prediction-of-heart-disease.ipynb,pandas
analysis-and-prediction-of-heart-disease.ipynb,xgboost
analysis-and-prediction-of-heart-disease.ipynb,scikit-learn
analysis-and-prediction-of-heart-disease.ipynb,matplotlib
analysis-and-prediction-of-heart-disease.ipynb,numpy
cayleypy-automerge.ipynb,pandas
cayleypy-automerge.ipynb,matplotlib
cayleypy-automerge.ipynb,numpy
exercise-summary-functions-and-maps copy.ipynb,pandas
day-5a-agent-to-agent-communication-bhiman.ipynb,requests
exercise-creating-reading-and-writing.ipynb,pandas
ai-is-reshaping-global-workforce-2015-2025.ipynb,seaborn
ai-is-reshaping-global-workforce-2015-2025.ipynb,pandas
ai-is-reshaping-global-workforce-2015-2025.ipynb,plotly
ai-is-reshaping-global-workforce-2015-2025.ipynb,scikit-learn
ai-is-reshaping-global-workforce-2015-2025.ipynb,matplotlib
ai-is-reshaping-global-workforce-2015-2025.ipynb,numpy
day-5a.ipynb,requests
exercise-your-first-machine-learning-model.ipynb,pandas
amazon-sales-eda.ipynb,seaborn
amazon-sales-eda.ipynb,pandas
amazon-sales-eda.ipynb,wordcloud
