package,count,percent_of_notebooks
pandas,570,0.753968253968254
numpy,535,0.7076719576719577
matplotlib,415,0.548941798941799
scikit-learn,330,0.4365079365079365
seaborn,257,0.33994708994708994
pytorch,133,0.17592592592592593
tqdm,95,0.12566137566137567
xgboost,76,0.10052910052910052
pillow,73,0.09656084656084656
scipy,61,0.08068783068783068
ipython,60,0.07936507936507936
opencv,55,0.07275132275132275
tensorflow,44,0.0582010582010582
lightgbm,42,0.05555555555555555
huggingface,35,0.046296296296296294
plotly,30,0.03968253968253968
joblib,27,0.03571428571428571
catboost,24,0.031746031746031744
requests,21,0.027777777777777776
logging,19,0.02513227513227513
scikit-image,15,0.01984126984126984
copy,12,0.015873015873015872
langchain,12,0.015873015873015872
statsmodels,12,0.015873015873015872
nltk,11,0.01455026455026455
polars,11,0.01455026455026455
optuna,10,0.013227513227513227
jupyter_server,9,0.011904761904761904
itertools,9,0.011904761904761904
traceback,9,0.011904761904761904
wordcloud,8,0.010582010582010581
langchain_community,8,0.010582010582010581
gensim,7,0.009259259259259259
dotenv,7,0.009259259259259259
shap,6,0.007936507936507936
asyncio,6,0.007936507936507936
tabulate,6,0.007936507936507936
audio,6,0.007936507936507936
rdkit,6,0.007936507936507936
category_encoders,5,0.006613756613756613
torchinfo,5,0.006613756613756613
surprise,4,0.005291005291005291
imblearn,4,0.005291005291005291
mcp,4,0.005291005291005291
stage0_model,4,0.005291005291005291
ipywidgets,4,0.005291005291005291
stage0_common,4,0.005291005291005291
stage2_model,4,0.005291005291005291
pydantic,4,0.005291005291005291
spacy,4,0.005291005291005291
stage1_model,4,0.005291005291005291
stage2_common,4,0.005291005291005291
cc3d,4,0.005291005291005291
wandb,4,0.005291005291005291
tunix,4,0.005291005291005291
h5py,4,0.005291005291005291
stage1_common,4,0.005291005291005291
psutil,3,0.003968253968253968
concurrent,3,0.003968253968253968
medicai,3,0.003968253968253968
qwix,3,0.003968253968253968
bokeh,3,0.003968253968253968
sample_list,3,0.003968253968253968
models,3,0.003968253968253968
mpl_toolkits,3,0.003968253968253968
streamlit,3,0.003968253968253968
gradio,3,0.003968253968253968
peft,3,0.003968253968253968
folium,3,0.003968253968253968
sqlite3,3,0.003968253968253968
the,2,0.0026455026455026454
nest_asyncio,2,0.0026455026455026454
torch_frame,2,0.0026455026455026454
mne,2,0.0026455026455026454
chromadb,2,0.0026455026455026454
statistics,2,0.0026455026455026454
clip,2,0.0026455026455026454
vertexai,2,0.0026455026455026454
mlxtend,2,0.0026455026455026454
yfinance,2,0.0026455026455026454
graphviz,2,0.0026455026455026454
